    DOM [11]            HET [10|01]             SUB [00]                Default
01  No_Effect           No_Effect               NO_FRONT_LEFT_LEG       11
02  No_Effect           No_Effect               NO_FRONT_RIGHT_LEG      11
03  No_Effect           No_Effect               NO_BACK_LEFT_LEG        11
04  No_Effect           No_Effect               NO_BACK_RIGHT_LEG       11
05  No_Effect           No_Effect               VOICE_PITCH_HIGH        10
06  No_Effect           No_Effect               VOICE_PITCH_LOW         10
07  No_Effect           No_Effect               VOICE_HOARSE            11
08  No_Effect           No_Effect               SMALL_PUPILS            11
09  No_Effect           No_Effect               EYELIDS                 10
10  No_Effect           No_Effect               OBLONG_EYES             10
11  No_Effect           No_Effect               MULTI_PUPILS            11
12  No_Effect           No_Effect               TEETH                   00
13  No_Effect           No_Effect               V_MOUTH                 11
14  No_Effect           No_Effect               OPEN_MOUTH              11
15  No_Effect           TILTED_EARS             No_Effect               11
16  NO_TAIL             NUB_TAIL                No_Effect               11
17  No_Effect           SLIGHTLY_CURLED_TAIL    CURLED_TAIL             11
18  STIFF_TAIL          STIFF_TAIL              No_Effect               11
19  No_Effect           No_Effect               STRIPE_PATTERN          11
20  No_Effect           SPLOTCH_PATTERN         REPEATING_PATTERN       11
21  NO_PATTERN          No_Effect               No_Effect               11
22  NO_WINGS            No_Effect               WINGS                   11
23  No_Effect           No_Effect               WING_ISSUES             11
24  MISSING_LEFT_WING   No_Effect               MISSING_RIGHT_WING      10
25  ALIGNMENT_GOOD      ALIGNMENT_NEUTRAL       ALIGNMENT_EVIL          10
26  No_Effect           No_Effect               WING_FEATHERS           11
27  No_Effect           No_Effect               LONG_EYES               11
28  No_Effect           No_Effect               HORIZONTAL_EYES         10
29  No_Effect           No_Effect               TRIANGLE_EYES           11
30  No_Effect           No_Effect               MISSING_PUPIL_EYES      11
31  No_Effect           No_Effect               DECORATIVE_EYES         11
32  No_Effect           No_Effect               LASHES_EYES             11
33  No_Effect           No_Effect               SPIRAL_EYES             11
34  No_Effect           No_Effect               TRIANGLE_EYES           11
35  No_Effect           No_Effect               GEOMETRIC_EYES          10
36  No_Effect           No_Effect               FLAT_TAIL               11
37  No_Effect           No_Effect               BULBOUS_TAIL            11
38  No_Effect           No_Effect               REPEATED_TAIL           10
39  No_Effect           No_Effect               THIN_TAIL               11
40  No_Effect           No_Effect               TAIL_3D                 10
41  No_Effect           NOSE_EXTRUSION          No_Effect               11
42  NOSE_SQUISH         No_Effect               NOSE_STRETCH            10
43  No_Effect           No_Effect               NOSE_FLAT               11
44  No_Effect           No_Effect               NOSE_REPEATED           11
45  No_Effect           No_Effect               EAR_FILLED              00
46  No_Effect           EAR_FLOPPY              EAR_PARTIAL_FLOP        11
47  No_Effect           No_Effect               EAR_SHARP               11
48  No_Effect           EAR_HALVED              No_Effect               11
49  No_Effect           No_Effect               EAR_CONIC               11
50  EAR_CURL_SYNCED     EAR_CURL_SYNCED         No_Effect               11
51  No_Effect           No_Effect               HORNS_TRADITIONAL       11
52  No_Effect           No_Effect               HORNS_CENTER            11
53  HORNS_NONE          HORNS_NONE              No_Effect               11
54  No_Effect           No_Effect               HORNS_CURLED            11
55  No_Effect           No_Effect               HORNS_NUB               11
56  MOUTH_SMILE         MOUTH_NEUTRAL           MOUTH_FROWN             10
57  No_Effect           No_Effect               MOUTH_CHEEKS            11
58  No_Effect           No_Effect               HORNS_THICK             11
59  No_Effect           No_Effect               HORNS_THIN              11
60  No_Effect           No_Effect               MOUTH_MISSING_TEETH     11
61  No_Effect           No_Effect               MOUTH_POINTED           11
62  No_Effect           No_Effect               MOUTH_CUTOFF            11
63  No_Effect           No_Effect               MOUTH_WIGGLE            11
